STATE,,YEAR,MONTH,MIN_TEMP,MAX_TEMP,RAINFALL,CLOUD_COVER,WET_DAY_FREQ,DIURNAL_TEMP,FLOOD OCCURRENCE,,,,,,,,,,,
BIHAR,SITAMARHI,1993,AUGUST,25.305,28.638,185.67,69.418,9.5485,6.691,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,SEPTEMBER,25.192,29.005,292.265,59.944,9.7002,7.672,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1993,OCTOBER,22.328,27.347,63.05,37.443,1.9721,10.037,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,NOVEMBER,15.65,22.464,1.717,26.143,0.9751,13.657,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,DECEMBER,11.494,18.465,0,28.995,0,13.984,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,JANUARY,10.523,17.435,57.219,25.921,3.0513,13.824,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,FEBRUARY,11.053,18.266,28.946,28.343,1.4627,14.478,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,MARCH,17.517,25.411,22.77,31.521,1.0023,15.805,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,APRIL,21.08,28.652,16.892,25.622,1.1049,15.217,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,MAY,24.533,31.107,37.727,38.6,2.3406,13.217,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,JUNE,26.457,31.579,25.528,59.022,3.5343,10.285,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,JULY,26.266,29.82,216.352,73.447,10.4513,7.139,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1994,AUGUST,25.716,29.049,296.427,69.418,11.7707,6.691,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1994,SEPTEMBER,25.691,29.505,77.516,59.944,5.0201,7.672,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,OCTOBER,21.913,26.932,101.677,37.443,2.806,10.037,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,NOVEMBER,15.439,22.251,2.592,26.143,0.8668,13.657,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1994,DECEMBER,10.519,17.491,0,28.995,0,13.984,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,JANUARY,7.641,14.554,16.444,25.921,1.8182,13.824,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,FEBRUARY,14.305,21.498,18.904,28.343,1.2905,14.478,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,MARCH,16.78,24.499,11.701,31.521,1.0424,15.438,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,APRIL,21.534,29.181,3.364,25.622,0.8618,15.317,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,MAY,25.638,32.211,46.686,38.6,2.5107,13.217,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,JUNE,26.545,31.684,35.615,59.022,3.5706,10.285,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,JULY,25.873,29.351,202.269,73.447,9.3081,6.939,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1995,AUGUST,25.716,28.831,309.532,69.418,11.3824,6.273,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1995,SEPTEMBER,25.475,29.406,171.175,59.944,7.6138,7.885,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,OCTOBER,22.131,27.097,9.901,38.494,1.0068,9.937,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,NOVEMBER,15.979,22.692,25.11,27.783,1.0001,13.45,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1995,DECEMBER,11.569,18.542,1.757,30.746,0.773,13.984,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,JANUARY,10.03,16.493,21.033,21.745,1.6145,13.004,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,FEBRUARY,11.98,19.192,10.676,27.63,1.0001,14.478,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,MARCH,18.325,25.438,2.685,70.7,1.0001,14.257,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,APRIL,20.948,28.513,9.339,15.998,1.0001,15.116,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,MAY,25.245,31.444,33.84,38.59,1.9486,12.45,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,JUNE,25.158,30.278,11.479,60.539,3.254,10.285,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,JULY,26.134,29.419,183.454,70.783,9.3754,6.663,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,AUGUST,24.882,28.055,322.771,66.932,11.7187,6.371,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1996,SEPTEMBER,26.101,29.661,171.079,57.695,7.178,7.124,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,OCTOBER,22.126,27.145,165.146,43.077,4.6635,10.037,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,NOVEMBER,15.979,23.244,0,14.267,0,14.576,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1996,DECEMBER,11.719,19.023,0,29.863,0,14.598,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,JANUARY,8.998,15.554,13.151,23.399,1.5677,13.076,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,FEBRUARY,10.802,18.014,12.61,24.824,1.0001,14.478,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,MARCH,16.888,24.473,5.308,26.03,1.0001,15.199,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,APRIL,21.961,29.508,9.064,27.068,1.1575,15.089,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,MAY,23.734,30.226,143.436,36.845,4.6759,12.989,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,JUNE,26.376,31.442,138.733,43.853,5.1228,10.134,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,JULY,27.293,30.653,199.024,75.695,10.8772,6.739,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,AUGUST,26.167,29.473,337.093,61.202,11.5432,6.645,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1997,SEPTEMBER,24.727,28.359,153.782,64.264,7.0463,7.272,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,OCTOBER,20.825,25.671,60.258,39.125,2.336,9.67,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,NOVEMBER,15.739,22.452,25.761,19.103,1.0001,13.365,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1997,DECEMBER,11.015,17.684,9.387,40.309,1.2531,13.388,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,JANUARY,9.72,16.632,0.205,25.574,0.2043,13.824,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,FEBRUARY,12.762,19.627,12.479,28.336,1.026,13.775,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,MARCH,15.749,23.175,7.607,23.582,1.0026,14.886,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,APRIL,21.284,28.481,16.126,61.211,1.0956,14.441,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,MAY,24.91,31.347,141.595,38.962,4.3864,12.884,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,JUNE,27.544,32.657,53.913,49.309,3.4775,10.277,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,JULY,26.221,29.427,236.27,73.282,10.76,6.447,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1998,AUGUST,26.599,29.533,330.52,76.066,10.8695,5.891,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1998,SEPTEMBER,26.199,29.533,176.073,59.49,7.3844,6.728,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,OCTOBER,24.509,29.253,121.779,39.181,3.5027,9.516,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,NOVEMBER,16.737,23.223,20.35,28.927,1.0001,13.071,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1998,DECEMBER,12.118,18.791,0,31.532,0,13.416,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1999,JANUARY,10.489,17.2,19.465,24.137,1.6816,13.452,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1999,FEBRUARY,13.271,20.457,8.207,27.471,1.0001,14.47,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1999,MARCH,17.039,25.099,2.165,30.158,1.0001,16.08,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1999,APRIL,24.296,32.042,0.146,15.036,0.1457,15.517,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1999,MAY,25.224,31.797,84.106,43.738,3.2648,13.217,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1999,JUNE,25.865,30.986,116.609,55.99,5.2268,10.285,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1999,JULY,25.606,29.165,301.254,76.332,10.911,7.139,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1999,AUGUST,26.074,29.132,266.887,75.042,10.7775,6.165,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1999,SEPTEMBER,25.296,28.835,188.739,68.874,7.8097,7.078,NO,,,,,,,,,,,
